#  N_GK21  GK21 
1.32222  -0.3010299956639884
1.612783856719735  -0.3010299956639884
1.785329835010767  -0.3010299956639884
1.90848501887865  -0.3010299956639884
2.004321373782643  -0.3010299956639884
2.08278537031645  -0.3010299956639884
2.14921911265538  -0.3010299956639884
2.20682587603185  -0.3010299956639884
2.257678574869185  -0.3010299956639884
2.303196057420489  -0.3010299956639884
2.344392273685111  -0.3010299956639884
2.382017042574868  -0.3010299956639884
2.416640507338281  -0.3010299956639884
2.44870631990508  -0.3010299956639884
2.478566495593844  -0.3010299956639884
2.506505032404872  -0.3010299956639884
2.532754378992498  -0.3010299956639884
2.557507201905658  -0.3010299956639884
2.580924975675619  -0.3010299956639884
2.603144372620182  -0.3010299956639884
2.624282095835668  -0.3010299956639884
2.644438589467839  -0.3010299956639884
2.663700925389648  -0.3010299956639884
2.682145076373832  -0.3010299956639884
2.699837725867246  -0.3010299956639884
