#  N_Simpson  Simpsons  
#-----------------------------------------
0.477121  -2.072090874404276
0.6989700043360189  -4.223190768935059
0.8450980400142568  -4.480331068836404
0.9542425094393249  -5.006366418300833
1.041392685158225  -5.389252822773749
1.113943352306837  -5.705194134637629
1.176091259055681  -5.972404208262868
1.230448921378274  -6.204021056841657
1.278753600952829  -6.408396290963268
1.322219294733919  -6.591261540707623
1.361727836017593  -6.756712165663309
1.397940008672038  -6.907776061864652
1.431363764158987  -7.046754786610752
1.462397997898956  -7.175438599894747
1.491361693834273  -7.295247443558893
1.518513939877888  -7.407326463335225
1.544068044350276  -7.512612602508788
1.568201724066995  -7.611882223722296
1.591064607026499  -7.705785764091108
1.612783856719735  -7.794873617183588
1.633468455579586  -7.879615609230147
1.653212513775344  -7.960416008351531
1.672097857935718  -8.037625239523253
1.690196080028514  -8.111548892870534
1.707570176097936  -8.182455217212336
1.724275869600789  -8.250580836507249
1.740362689494244  -8.316135712074871
1.755874855672491  -8.379306742685294
1.770852011642144  -8.440261180980295
1.785329835010767  -8.499149412218708
1.799340549453582  -8.556106928845587
1.812913356642855  -8.611256245315539
1.826074802700826  -8.664708644597436
1.838849090737255  -8.716565513581099
1.851258348719075  -8.766919324099804
1.863322860120456  -8.815854693843301
1.8750612633917  -8.863449626917157
1.886490725172482  -8.90977508661401
1.897627091290441  -8.954897638583967
1.90848501887865  -8.998877632850773
1.919078092376074  -9.041771964716609
1.929418925714293  -9.083632646225679
1.939519252618618  -9.124508457173937
1.949390006644913  -9.164444838859946
1.959041392321094  -9.20348417304664
1.968482948553935  -9.241664357534853
1.977723605288848  -9.279024578765938
1.986771734266245  -9.315597876462132
1.99563519459755  -9.35141786820075
2.004321373782643  -9.386513461896637
2.012837224705172  -9.420914966004675
2.021189299069938  -9.454647922607782
2.02938377768521  -9.487739347937653
2.037426497940624  -9.520211280201181
2.045322978786658  -9.552087610666353
2.05307844348342  -9.583389079027727
2.060697840353612  -9.614138732138972
2.068185861746162  -9.644353680967297
2.075546961392531  -9.674051487932363
2.08278537031645  -9.703249587776286
2.089905111439398  -9.731966490780181
2.096910013008056  -9.760215907172723
2.103803720955957  -9.788013999067511
2.110589710299249  -9.815372829759315
2.117271295655764  -9.842309097521795
2.123851640967086  -9.868834566943546
2.130333768495006  -9.894960127219427
2.136720567156407  -9.920701375883365
2.143014800254095  -9.946062106076276
2.14921911265538  -9.971066914453438
2.155336037465062  -9.995706472298972
2.161368002234975  -10.02000794149315
2.167317334748176  -10.04397464800649
2.173186268412274  -10.06761139052944
2.178976947293169  -10.09093909792552
2.184691430817599  -10.11394769722872
2.190331698170291  -10.13666539879809
2.195899652409234  -10.15908222231079
2.201397124320451  -10.1812171744361
2.20682587603185  -10.20307563930215
2.212187604403958  -10.22466139171449
2.217483944213906  -10.24597973692169
2.222716471147583  -10.26704796690886
2.227886704613673  -10.28786000005248
2.232996110392154  -10.30842231704007
2.238046103128795  -10.32875122254198
2.243038048686294  -10.34884067756275
2.247973266361807  -10.36869538222284
2.252853030979893  -10.38833296165985
2.257678574869185  -10.40775841170592
2.262451089730429  -10.42696260290456
2.267171728403014  -10.44594910854275
2.271841606536499  -10.46474177340024
2.276461804173244  -10.48332988726096
2.281033367247728  -10.50171047874958
2.285557309007774  -10.51992051466631
2.290034611362518  -10.53793494433383
2.294466226161593  -10.55575831181164
2.298853076409707  -10.57341546702359
2.303196057420489  -10.59088003971243
2.307496037913213  -10.60818255467872
2.311753861055754  -10.62530165635647
2.315970345456918  -10.64226352673897
2.320146286111054  -10.65907101083549
2.324282455297693  -10.67570232375398
2.328379603438738  -10.69218463389216
2.332438459915605  -10.70848343885111
2.33645973384853  -10.7246684606776
2.340444114840118  -10.74070709867688
2.344392273685111  -10.75658307362195
2.348304863048161  -10.77230486317565
2.352182518111363  -10.78791036107692
2.356025857193123  -10.80338109772831
2.359835482339888  -10.81867563719766
2.363611979892144  -10.83388042497504
2.367355921026019  -10.84895401560176
2.371067862271736  -10.8638751707777
2.374748346010104  -10.878659629704
2.378397900948138  -10.89335352946886
2.382017042574868  -10.90785474623263
2.385606273598312  -10.92231563900116
2.389166084364533  -10.93666428408244
2.392696953259666  -10.95087253183726
2.396199347095736  -10.96494868695904
2.399673721481038  -10.97891976316082
2.403120521175818  -10.99276820722946
2.406540180433955  -11.00656075642383
2.409933123331295  -11.02022441862746
2.413299764081252  -11.03372318290922
2.416640507338281  -11.04713964115808
2.419955748489758  -11.06050067621324
2.423245873936808  -11.07372794633713
2.426511261364575  -11.08684711937437
2.429752280002408  -11.09992001043114
2.432969290874406  -11.11286447897081
2.436162647040756  -11.1257238209869
2.439332693830263  -11.13844367556719
2.442479769064449  -11.15115449693461
2.445604203273597  -11.16368483251628
2.44870631990508  -11.17622173120434
2.45178643552429  -11.18859920092721
2.45484486000851  -11.20085922870152
2.457881896733992  -11.21313218794012
2.460897842756548  -11.22531018198089
2.463892988985907  -11.2373023368432
2.46686762035411  -11.24927693732161
2.469822015978163  -11.26105436782084
2.472756449317212  -11.27300255039062
2.47567118832443  -11.28481907830923
2.478566495593844  -11.29636726466207
2.481442628502305  -11.30792352846431
2.484299839346786  -11.31953262477838
2.487138375477187  -11.33097424398227
2.489958479424835  -11.34235570150945
2.492760389026837  -11.35353119069407
2.495544337546448  -11.364612643376
2.4983105537896  -11.37582455204119
2.501059262217752  -11.38698528698545
2.503790683057181  -11.39791503279099
2.506505032404872  -11.40888995337466
2.509202522331103  -11.41984005028507
2.511883360978874  -11.43055231844598
2.514547752660286  -11.44123373233074
